Year,Tournamment,Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs,Role
2018,Spring_Season,Friends Forever Gaming,Sena,14,7,7,50%,2.43,4,7.36,2.45,131.86,4.21,9.8,313,-,-,70.3%,17.4%,17.3%,6,"['Sejuani', 'Jarvan IV', ""Kha'Zix""]",Jungler
2018,Spring_Season,Friends Forever Gaming,QTV,2,1,1,50%,1,2,4,2.5,293.5,9.03,12.7,390,-,-,50%,10%,22.9%,2,"['Twisted Fate', 'Azir']",Mid Laner
2018,Spring_Season,Friends Forever Gaming,DNK,2,0,2,0%,1,4.5,7,1.78,167.5,5.13,10,305,-,-,72.7%,9.1%,18.4%,2,"['Nidalee', 'Sejuani']",Jungler
2018,Spring_Season,FTV Esports,Akeno,33,14,19,42.4%,0.61,3.09,7.79,2.72,55.12,1.88,-,-,-,-,66.9%,4.8%,-,7,"['Janna', 'Alistar', 'Braum']",Support
2018,Spring_Season,FTV Esports,Knight,33,14,19,42.4%,2.82,3.06,6.76,3.13,160.61,5.48,-,-,-,-,76.3%,22.5%,-,10,"['Jarvan IV', 'Nidalee', 'Sejuani']",Jungler
2018,Spring_Season,FTV Esports,Slayder,33,14,19,42.4%,4.06,1.97,4.79,4.49,292.64,9.98,-,-,-,-,70.5%,32.4%,-,8,"['Tristana', 'Ezreal', 'Vayne']",Bot Laner
2018,Spring_Season,FTV Esports,Victory,33,14,19,42.4%,3.15,2.82,4.67,2.77,265.09,9.04,-,-,-,-,62.3%,25.1%,-,10,"['Ryze', 'Azir', 'Galio']",Mid Laner
2018,Spring_Season,FTV Esports,Taurus,24,10,14,41.7%,2.04,2.29,5.08,3.11,247.46,8.47,-,-,-,-,56.6%,16.2%,-,5,"['Ornn', 'Camille', 'Jayce']",Top Laner
2018,Spring_Season,FTV Esports,SunSieu,10,4,6,40%,1.6,2.4,5.5,2.96,264.7,8.6,11.7,379,-,-,56.3%,12.7%,21.1%,6,"['Sion', 'Gnar', 'Maokai']",Top Laner
2018,Spring_Season,GIGABYTE Marines,Archie,33,19,14,57.6%,0.91,3.06,9,3.24,83.79,2.63,9.4,294,-,-,67.8%,6.2%,15.4%,17,"['Tahm Kench', 'Zyra', 'Janna']",Support
2018,Spring_Season,GIGABYTE Marines,Noway,31,17,14,54.8%,4.58,1.68,4.68,5.52,340.35,10.69,14.8,464,-,-,67.1%,33.2%,24.5%,8,"['Kalista', 'Ezreal', 'Caitlyn']",Bot Laner
2018,Spring_Season,GIGABYTE Marines,Zeroday,23,15,8,65.2%,4.57,3.17,6.3,3.42,300.91,9.52,13.9,440,-,-,66.3%,27.9%,22.2%,7,"['Ryze', 'Taliyah', 'Veigar']",Mid Laner
2018,Spring_Season,GIGABYTE Marines,KrissKyle,22,13,9,59.1%,3.64,2.5,6.77,4.16,162.36,5.28,11,357,-,-,68.2%,23.8%,18.3%,11,"['Jarvan IV', 'Sejuani', 'Graves']",Jungler
2018,Spring_Season,GIGABYTE Marines,Zeros,21,12,9,57.1%,2.52,2.33,6.14,3.71,299.1,9.54,13.2,421,-,-,54.8%,16%,21.6%,8,"['Gnar', 'Ornn', 'Fiora']",Top Laner
2018,Spring_Season,GIGABYTE Marines,PetLand,10,4,6,40%,3.1,2,3.5,3.3,309.7,9.61,13.1,408,-,-,62.9%,29.5%,23.2%,6,"['Cassiopeia', 'Corki', 'Orianna']",Mid Laner
2018,Spring_Season,GIGABYTE Marines,Sya,8,5,3,62.5%,1.88,3.75,7.5,2.5,178.75,5.63,11,345,-,-,62.5%,12.5%,17.7%,8,"['Ornn', 'Sejuani', 'Alistar']",Bot Laner
2018,Spring_Season,GIGABYTE Marines,Ciel,8,4,4,50%,1.25,3.75,7.63,2.37,141.5,4.18,9.6,284,-,-,69.6%,9.8%,15.7%,4,"['Jarvan IV', 'Skarner', 'Zac']",Jungler
2018,Spring_Season,GIGABYTE Marines,Nevan,7,4,3,57.1%,1,3.43,5.14,1.79,272.14,8.16,12,361,-,-,46.7%,7.6%,19.7%,4,"['Sion', 'Ornn', 'Maokai']",Top Laner
2018,Spring_Season,Hall of Fame,LL,29,3,26,10.3%,2.17,3.72,4.03,1.67,271.59,8.56,11.8,373,-,-,57.3%,20.1%,21.3%,10,"['Camille', 'Ornn', 'Gnar']",Top Laner
2018,Spring_Season,Hall of Fame,Pake,29,3,26,10.3%,2.72,3.1,4.59,2.36,294.45,9.28,12.3,389,-,-,67.5%,25.2%,22.3%,10,"['Ryze', 'Cassiopeia', 'Azir']",Mid Laner
2018,Spring_Season,Hall of Fame,Shaoran,23,2,21,8.7%,0.7,3.35,6.61,2.18,61.7,1.9,8.5,261,-,-,63.4%,6%,14.8%,9,"['Alistar', 'Rakan', 'Thresh']",Support
2018,Spring_Season,Hall of Fame,Minas,23,1,22,4.3%,3.09,2.96,4,2.4,311.35,9.84,13.1,413,-,-,67.1%,29.2%,23.8%,9,"['Varus', 'Kalista', 'Ezreal']",Bot Laner
2018,Spring_Season,Hall of Fame,Sorn,18,2,16,11.1%,2.22,3.28,5.11,2.24,151.78,4.8,9.8,312,-,-,72.1%,21.9%,18%,7,"['Sejuani', 'Jax', ""Rek'Sai""]",Jungler
2018,Spring_Season,Hall of Fame,Xuhao,11,1,10,9.1%,2.55,3.55,6.45,2.54,152.27,4.77,10.2,318,-,-,75.6%,21.4%,18%,7,"[""Rek'Sai"", 'Sejuani', 'Jarvan IV']",Jungler
2018,Spring_Season,Hall of Fame,EasyLove,6,2,4,33.3%,2.5,3,4.5,2.33,348.33,10.86,13.9,434,-,-,59.2%,21.1%,24.2%,4,"['Xayah', 'Caitlyn', 'Tristana']",Bot Laner
2018,Spring_Season,Hall of Fame,Bie,6,1,5,16.7%,0.33,2.17,5.5,2.69,34.67,1.19,6.6,228,-,-,71.4%,4.1%,13.5%,5,"['Rakan', 'Tahm Kench', 'Braum']",Support
2018,Spring_Season,Ultimate,Blazes,36,22,14,61.1%,3.17,2.47,5.5,3.51,322.83,10.04,13.8,430,-,-,67.4%,24.6%,22.8%,9,"['Ryze', 'Azir', 'Taliyah']",Mid Laner
2018,Spring_Season,Ultimate,Calm,36,22,14,61.1%,2.19,2.58,4.92,2.75,271.19,8.43,12.7,395,-,-,55.3%,17.1%,20.9%,12,"['Ornn', 'Gnar', 'Camille']",Top Laner
2018,Spring_Season,Ultimate,Spot,36,22,14,61.1%,2.31,2.67,6.25,3.21,154.19,4.79,10.7,334,-,-,66.5%,17.9%,17.7%,11,"[""Kha'Zix"", 'Sejuani', 'Jax']",Jungler
2018,Spring_Season,Ultimate,Zin,36,22,14,61.1%,4.42,1.14,4.47,7.8,323.81,10.07,14.6,454,-,-,69.1%,34.3%,24%,8,"['Varus', 'Ezreal', 'Caitlyn']",Bot Laner
2018,Spring_Season,Ultimate,CBL,26,15,11,57.7%,0.69,2.73,7.42,2.97,69.23,2.1,9.1,278,-,-,64.3%,5.5%,14.8%,9,"['Taric', 'Alistar', 'Rakan']",Support
2018,Spring_Season,Ultimate,Tear,10,7,3,70%,1,1.7,8.2,5.41,45.5,1.51,8.3,275,-,-,68.1%,7.4%,14.4%,7,"['Braum', 'Tahm Kench', 'Thresh']",Support
2018,Spring_Season,Young Generation,BigKoro,35,20,15,57.1%,4.09,2,5.46,4.77,353.97,10.39,15.5,456,-,-,69.3%,29.7%,24%,7,"['Kalista', 'Caitlyn', 'Ezreal']",Bot Laner
2018,Spring_Season,Young Generation,Naul,35,20,15,57.1%,3.57,2.4,5.17,3.64,328.69,9.65,14.3,421,-,-,63.5%,25.9%,22.2%,12,"['Azir', 'Zoe', 'Ryze']",Mid Laner
2018,Spring_Season,Young Generation,Palette,35,20,15,57.1%,0.97,2.34,8.91,4.22,76.57,2.25,10,292,-,-,71.8%,7.1%,15.4%,15,"['Janna', 'Tahm Kench', 'Alistar']",Support
2018,Spring_Season,Young Generation,Venus,35,20,15,57.1%,2.43,2.54,7.46,3.89,178.09,5.23,11.7,342,-,-,71.8%,17.6%,18%,8,"['Jarvan IV', ""Kha'Zix"", 'Sejuani']",Jungler
2018,Spring_Season,Young Generation,yT,18,10,8,55.6%,3.39,3.06,4.28,2.51,278.78,8.37,13.2,396,-,-,54.3%,24%,20.8%,9,"['Camille', ""Cho'Gath"", 'Gnar']",Top Laner
2018,Spring_Season,Young Generation,Ren,17,10,7,58.8%,2,2.76,5.82,2.83,271.06,7.77,13.1,375,-,-,58.3%,14.9%,19.8%,10,"['Ornn', 'Gangplank', 'Sion']",Top Laner
2018,Spring_Playoffs,EVOS Esports,RonOP,5,3,2,60%,0.4,2.8,11.2,4.14,53.6,1.69,8.1,255,-,-,74.4%,2.6%,13.6%,4,"['Taric', 'Braum', 'Shen']",Support
2018,Spring_Playoffs,EVOS Esports,Slay,5,3,2,60%,5.8,1.8,6,6.56,325.2,10.23,14.8,466,-,-,75.6%,37.2%,24.9%,4,"['Caitlyn', 'Varus', 'Jhin']",Bot Laner
2018,Spring_Playoffs,EVOS Esports,Stark,5,3,2,60%,2.2,3,6.6,2.93,259.8,8.17,12.2,384,-,-,56.4%,14.1%,20.5%,4,"['Ornn', 'Gnar', 'Renekton']",Top Laner
2018,Spring_Playoffs,EVOS Esports,Warzone,5,3,2,60%,4.2,2,5,4.6,316.6,9.96,13.9,438,-,-,59%,26.9%,23.4%,4,"['Cassiopeia', 'Ryze', 'Taliyah']",Mid Laner
2018,Spring_Playoffs,EVOS Esports,YiJin,5,3,2,60%,3,3.4,7.8,3.18,140.6,4.42,10.5,331,-,-,69.2%,19.2%,17.6%,4,"['Zac', 'Olaf', 'Sejuani']",Jungler
2018,Spring_Playoffs,GIGABYTE Marines,Archie,13,8,5,61.5%,0.38,3,9.85,3.41,43.92,1.26,8.8,254,-,-,62.1%,2.3%,13.6%,5,"['Lulu', 'Tahm Kench', 'Braum']",Support
2018,Spring_Playoffs,GIGABYTE Marines,KrissKyle,13,8,5,61.5%,2.54,2.69,10.46,4.83,155.38,4.46,10.9,314,-,-,79%,15.4%,16.8%,4,"['Sejuani', 'Jarvan IV', 'Trundle']",Jungler
2018,Spring_Playoffs,GIGABYTE Marines,Noway,13,8,5,61.5%,5.23,2.08,6.54,5.67,368.85,10.58,16.3,468,-,-,71.5%,31.8%,25.1%,6,"['Varus', 'Jhin', 'Ashe']",Bot Laner
2018,Spring_Playoffs,GIGABYTE Marines,Zeroday,13,8,5,61.5%,4.69,2.62,7.15,4.53,321.23,9.22,14.7,422,-,-,72%,28.5%,22.6%,5,"['Ryze', 'Taliyah', 'Swain']",Mid Laner
2018,Spring_Playoffs,GIGABYTE Marines,Zeros,13,8,5,61.5%,3.62,2.85,7.15,3.78,307.08,8.81,14.2,408,-,-,65.4%,22%,21.9%,5,"['Ornn', 'Sion', 'Camille']",Top Laner
2018,Spring_Playoffs,Ultimate,Blazes,4,1,3,25%,3.75,2.25,2,2.56,360.5,10.19,14.7,416,-,-,60.5%,39.5%,24.2%,4,"['Ryze', 'Cassiopeia', 'Azir']",Mid Laner
2018,Spring_Playoffs,Ultimate,Calm,4,1,3,25%,1.5,3,3,1.5,301.5,8.52,12.9,364,-,-,47.4%,15.8%,21.2%,4,"['Gnar', 'Ornn', 'Sion']",Top Laner
2018,Spring_Playoffs,Ultimate,Spot,4,1,3,25%,2.5,3.25,4.5,2.15,148.75,4.2,10.3,290,-,-,73.7%,26.3%,16.9%,4,"['Sejuani', 'Olaf', 'Trundle']",Jungler
2018,Spring_Playoffs,Ultimate,Tear,4,1,3,25%,0.5,3.75,6,1.73,71.5,2.02,8.6,244,-,-,68.4%,5.3%,14.2%,2,"['Braum', 'Tahm Kench']",Support
2018,Spring_Playoffs,Ultimate,Zin,4,1,3,25%,1.25,3,3.75,1.67,371.75,10.51,14.2,401,-,-,52.6%,13.2%,23.4%,4,"['Jinx', 'Xayah', 'Caitlyn']",Bot Laner
2018,Spring_Playoffs,Young Generation,BigKoro,4,1,3,25%,6,2.25,3.25,4.11,420.5,11.02,17.5,459,-,-,67.3%,43.6%,26.5%,2,"['Caitlyn', 'Xayah']",Bot Laner
2018,Spring_Playoffs,Young Generation,Naul,4,1,3,25%,3.5,4.25,4.75,1.94,362.75,9.51,15.1,395,-,-,60%,25.5%,22.8%,3,"['Taliyah', 'Anivia', 'Orianna']",Mid Laner
2018,Spring_Playoffs,Young Generation,Palette,4,1,3,25%,0.75,4,8.75,2.38,76,1.99,9.2,240,-,-,69.1%,5.5%,13.9%,3,"['Braum', 'Thresh', 'Tahm Kench']",Support
2018,Spring_Playoffs,Young Generation,Venus,4,1,3,25%,2.25,5.5,8,1.86,150,3.93,10.8,282,-,-,74.5%,16.4%,16.3%,2,"['Sejuani', 'Skarner']",Jungler
2018,Spring_Playoffs,Young Generation,yT,2,1,1,50%,1.5,7.5,7,1.13,321,7.55,15.3,359,-,-,50%,8.8%,19.9%,2,"['Camille', 'Poppy']",Top Laner
2018,Spring_Playoffs,Young Generation,Ren,2,0,2,0%,1,4.5,4.5,1.22,255.5,7.56,11.8,349,-,-,52.4%,9.5%,21.2%,2,"['Sion', 'Gangplank']",Top Laner
2018,Summer_Promotion,Friends Forever Gaming,Artifact,6,6,0,100%,4.83,2.17,5.17,4.62,278.33,10.12,12.9,469,-,-,58.3%,28.2%,22.9%,3,"['Cassiopeia', 'Ryze', 'Syndra']",Mid Laner
2018,Summer_Promotion,Friends Forever Gaming,Celebrity,6,6,0,100%,4.83,1,5.67,10.5,288.5,10.49,13.6,495,-,-,61.2%,28.2%,24.2%,5,"['Tristana', 'Ashe', 'Caitlyn']",Bot Laner
2018,Summer_Promotion,Friends Forever Gaming,KingJ,6,6,0,100%,2.83,1.67,4.33,4.3,237.33,8.63,11.6,423,-,-,41.7%,16.5%,20.7%,3,"['Camille', 'Ornn', 'Fiora']",Top Laner
2018,Summer_Promotion,Friends Forever Gaming,Sya,6,6,0,100%,1.67,2,8.33,5,58.33,2.12,8.1,294,-,-,58.3%,9.7%,14.4%,3,"['Tahm Kench', 'Braum', 'Thresh']",Support
2018,Summer_Promotion,Friends Forever Gaming,Venus,5,5,0,100%,3,2,8.4,5.7,138.8,5.14,10,371,-,-,64.8%,17%,18%,4,"['Trundle', 'Lee Sin', 'Zac']",Jungler
2018,Summer_Promotion,Friends Forever Gaming,Sena,1,1,0,100%,3,2,5,4,125,4.17,10.4,347,-,-,53.3%,20%,17.3%,1,['Trundle'],Jungler
2018,Summer_Promotion,Hall of Fame,EasyLove,9,6,3,66.7%,6.56,2.67,5.11,4.38,336,10.24,15.6,476,-,-,63.3%,35.5%,24.7%,6,"['Caitlyn', ""Kog'Maw"", 'Jhin']",Bot Laner
2018,Summer_Promotion,Hall of Fame,LL,9,6,3,66.7%,3.67,3.44,6.67,3,279.11,8.51,13.6,416,-,-,56%,19.9%,21.6%,4,"['Renekton', 'Ornn', 'Jayce']",Top Laner
2018,Summer_Promotion,Hall of Fame,Pake,9,6,3,66.7%,3.78,2.33,9.11,5.52,301.67,9.2,14.2,434,-,-,69.9%,20.5%,22.5%,4,"['Karma', 'Cassiopeia', 'Taliyah']",Mid Laner
2018,Summer_Promotion,Hall of Fame,Shaoran,9,6,3,66.7%,1,2.67,10.44,4.29,38.22,1.17,8.7,266,-,-,62%,5.4%,13.8%,5,"['Morgana', 'Thresh', 'Karma']",Support
2018,Summer_Promotion,Hall of Fame,Sorn,9,6,3,66.7%,3.44,2.67,8.22,4.38,147.56,4.5,11.1,337,-,-,63.3%,18.7%,17.5%,5,"['Olaf', 'Trundle', 'Gragas']",Jungler
2018,Summer_Promotion,Matrix Esport Gaming,CHP,7,1,6,14.3%,3.29,2.71,5.43,3.21,288,8.74,13.7,417,-,-,67%,25.3%,23.4%,6,"['Gangplank', 'Camille', 'Ornn']",Top Laner
2018,Summer_Promotion,Matrix Esport Gaming,Genya,7,1,6,14.3%,3.43,4.71,5.86,1.97,276.71,8.4,12.9,391,-,-,71.4%,26.4%,22%,5,"['Ryze', 'Karma', 'Taliyah']",Mid Laner
2018,Summer_Promotion,Matrix Esport Gaming,Jiso,7,1,6,14.3%,3.71,3,4.29,2.67,297.43,9.03,13.6,412,-,-,61.5%,28.6%,23.1%,4,"['Caitlyn', 'Xayah', 'Ezreal']",Bot Laner
2018,Summer_Promotion,Matrix Esport Gaming,GuonL,7,1,6,14.3%,0.86,4.86,7.71,1.76,35.29,1.07,7.9,241,-,-,65.9%,6.6%,13.5%,4,"['Rakan', 'Taric', 'Alistar']",Support
2018,Summer_Promotion,Matrix Esport Gaming,Vios,5,1,4,20%,1.8,4,6.6,2.1,182,5.28,11.2,326,-,-,51.9%,11.1%,17.7%,3,"['Jax', 'Skarner', 'Trundle']",Jungler
2018,Summer_Promotion,Matrix Esport Gaming,Odriew,2,0,2,0%,1.5,5,2.5,0.8,150,5.15,8.8,303,-,-,80%,30%,18.8%,2,"['Graves', 'Olaf']",Jungler
2018,Summer_Promotion,New Power Esports,Jedi,10,3,7,30%,2,2.4,5.3,3.04,276.3,8.71,11.9,375,-,-,71.6%,19.6%,22%,5,"['Swain', 'Orianna', 'Taliyah']",Mid Laner
2018,Summer_Promotion,New Power Esports,Vormund,10,3,7,30%,2.2,3.7,3.8,1.62,135.8,4.28,9.4,296,-,-,58.8%,21.6%,17.4%,7,"['Trundle', 'Skarner', 'Lee Sin']",Jungler
2018,Summer_Promotion,New Power Esports,Yoshino,10,3,7,30%,1.8,3.2,3.4,1.63,268.6,8.47,11.9,375,-,-,51%,17.6%,22%,5,"['Ornn', 'Fiora', 'Gnar']",Top Laner
2018,Summer_Promotion,New Power Esports,Killua,9,3,6,33.3%,0.89,3.22,5.78,2.07,42.67,1.31,7.8,239,-,-,61.9%,8.2%,13.9%,4,"['Braum', 'Morgana', 'Tahm Kench']",Support
2018,Summer_Promotion,New Power Esports,Sehun1,7,3,4,42.9%,3.43,2,4.71,4.07,334.86,9.96,14.7,438,-,-,78.1%,32.9%,25.2%,4,"['Ezreal', 'Xayah', 'Varus']",Bot Laner
2018,Summer_Promotion,New Power Esports,Killer1,3,0,3,0%,2.67,3.33,3,1.7,227,8.32,10.1,371,-,-,58.6%,27.6%,23.1%,2,"['Caitlyn', 'Ezreal']",Bot Laner
2018,Summer_Promotion,New Power Esports,KiKo,1,0,1,0%,2,2,0,1,22,0.92,5.6,234,-,-,40%,40%,15.3%,1,['Morgana'],Support
2018,Summer_Season,Cherry Esports,Hari,33,10,23,30.3%,3.06,4,4.18,1.81,243.24,8.64,11.2,398,-,-,52.6%,22.2%,22.3%,12,"['Jax', 'Gnar', 'Jayce']",Top Laner
2018,Summer_Season,Cherry Esports,Zeroday,20,8,12,40%,3.85,3.95,6.95,2.73,272.1,8.89,12.6,412,-,-,69%,24.6%,22.3%,7,"['Ryze', 'Orianna', 'LeBlanc']",Mid Laner
2018,Summer_Season,Cherry Esports,Zin,19,6,13,31.6%,3.84,1.58,4.11,5.03,273.37,9.06,12.4,410,-,-,57.9%,28%,22.9%,9,"['Varus', ""Kai'Sa"", 'Ezreal']",Bot Laner
2018,Summer_Season,Cherry Esports,CIearG,19,5,14,26.3%,3.32,2.95,5.16,2.88,227.42,8.48,10.7,401,-,-,63.1%,24.7%,23%,8,"['Varus', 'Ezreal', 'Xayah']",
2018,Summer_Season,Cherry Esports,Bara,18,7,11,38.9%,2.94,3.61,6.78,2.69,155.22,5.18,10.5,350,-,-,63.6%,19.3%,19%,5,"['Trundle', 'Graves', 'Kindred']",Jungler
2018,Summer_Season,Cherry Esports,HanKay,18,7,11,38.9%,0.94,3.67,8.28,2.52,35.83,1.21,7.3,246,-,-,61.5%,6.3%,13.3%,6,"['Shen', 'Morgana', 'Braum']",Mid Laner
2018,Summer_Season,Cherry Esports,Heaven,15,3,12,20%,1.8,4.07,5.27,1.74,102,3.92,7.7,297,-,-,59.2%,15.1%,17.6%,9,"['Trundle', 'Sejuani', 'Camille']",Jungler
2018,Summer_Season,Cherry Esports,Ynot,15,3,12,20%,1.53,4.27,6.93,1.98,48.27,1.86,6.7,259,-,-,70.9%,12.8%,15.4%,9,"['Alistar', 'Shen', 'Rakan']",Support
2018,Summer_Season,Cherry Esports,lkaros,14,3,11,21.4%,2.64,3.43,4,1.94,206.71,7.94,9.5,366,-,-,54.1%,21.5%,21.6%,10,"['Taliyah', 'Zoe', 'LeBlanc']",
2018,Summer_Season,Cube Adonis,EasyLove,34,21,13,61.8%,4.12,2.65,5.59,3.67,300.65,9.87,-,-,-,-,55.2%,23.4%,-,10,"['Vladimir', 'Varus', ""Kai'Sa""]",Bot Laner
2018,Summer_Season,Cube Adonis,Pake,34,21,13,61.8%,4.21,2.44,5.53,3.99,275.03,9.02,-,-,-,-,55.4%,23.9%,-,8,"['Irelia', 'Orianna', 'Ryze']",Mid Laner
2018,Summer_Season,Cube Adonis,Sorn,34,21,13,61.8%,4.18,3.5,7.44,3.32,161.76,5.31,-,-,-,-,66.1%,23.7%,-,8,"['Graves', 'Camille', 'Trundle']",Jungler
2018,Summer_Season,Cube Adonis,Kit,24,16,8,66.7%,1.92,3.54,9,3.08,38.63,1.27,-,-,-,-,59%,10.4%,-,9,"['Shen', 'Rakan', 'Gragas']",Support
2018,Summer_Season,Cube Adonis,yT,21,13,8,61.9%,3.43,3.33,6.29,2.91,261.52,8.47,-,-,-,-,53.5%,18.9%,-,9,"['Aatrox', 'Jayce', 'Rumble']",Top Laner
2018,Summer_Season,Cube Adonis,LL,13,8,5,61.5%,3.69,2.54,4.77,3.33,252.46,8.47,11.8,397,-,-,50.7%,22.1%,20.8%,7,"['Dr. Mundo', 'Darius', 'Jayce']",Top Laner
2018,Summer_Season,Cube Adonis,Bie,5,3,2,60%,1,2.8,9,3.57,30.6,0.95,8.3,257,-,-,70.4%,7%,13.7%,3,"['Alistar', 'Thresh', 'Janna']",Support
2018,Summer_Season,Cube Adonis,Shaorann,5,2,3,40%,0.4,2.8,7.6,2.86,41.2,1.4,7,237,-,-,48.2%,2.4%,13.2%,3,"['Alistar', 'Thresh', 'Morgana']",Support
2018,Summer_Season,EVOS Esports,RonOP,34,20,14,58.8%,1.65,2.59,7.82,3.66,44.44,1.47,-,-,-,-,65.2%,11.3%,-,10,"['Shen', 'Alistar', 'Taric']",Support
2018,Summer_Season,EVOS Esports,Slay,34,20,14,58.8%,3.59,2.15,5.41,4.19,281.76,9.34,-,-,-,-,61.9%,24.7%,-,11,"['Swain', 'Varus', 'Xayah']",Bot Laner
2018,Summer_Season,EVOS Esports,Warzone,34,20,14,58.8%,3,1.88,6.15,4.86,270.15,8.95,-,-,-,-,63%,20.6%,-,11,"['Cassiopeia', 'Ryze', 'Orianna']",Mid Laner
2018,Summer_Season,EVOS Esports,YiJin,34,20,14,58.8%,3.35,2.79,6.24,3.43,182.56,6.05,-,-,-,-,66%,23.1%,-,13,"['Kindred', 'Gragas', 'Trundle']",Jungler
2018,Summer_Season,EVOS Esports,Stark,31,19,12,61.3%,3.19,2.52,4.97,3.24,272.71,8.96,-,-,-,-,53.9%,21.1%,-,11,"['Aatrox', 'Renekton', 'Ornn']",Top Laner
2018,Summer_Season,EVOS Esports,Violet,3,1,2,33.3%,0.33,3,3,1.11,131.33,4.78,7.9,286,-,-,40%,4%,16.6%,3,"['Dr. Mundo', 'Fiddlesticks', 'Lulu']",Top Laner
2018,Summer_Season,Friends Forever Gaming,Artifact,32,21,11,65.6%,4.34,3.03,5.19,3.14,261.16,9.31,12.3,440,-,-,62.1%,28.3%,23.1%,11,"['Ryze', 'Irelia', 'Yasuo']",Mid Laner
