Year,Tournamment,Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,KPAR,KS,GS,CP,Champs,total_games,max_G/M,max_CS/M,max_KDA,max_KPAR
2021,Spring_Season,Saigon Buffalo,Hasmed,36,22,14,61.1,3.78,2.22,5.39,4.13,251.86,8.64,12.2,418.0,53.8,22.2,22.3,14,"Gnar, Aatrox, Camille",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Saigon Buffalo,Taki,36,22,14,61.1,1.53,3.0,10.14,3.89,44.11,1.51,7.6,261.0,68.5,9.0,13.9,15,"Galio, Rell, Thresh",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Saigon Buffalo,Froggy,30,19,11,63.3,2.87,2.6,8.67,4.44,225.3,7.72,11.2,384.0,65.7,16.3,20.5,13,"Orianna, Seraphine, Galio",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Saigon Buffalo,Rby,6,3,3,50.0,1.83,1.67,8.17,6.0,235.67,8.12,11.2,387.0,69.8,12.8,20.8,5,"Orianna, Galio, Syndra",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,Celebrity,35,17,18,48.6,5.29,2.31,3.83,3.94,287.89,9.37,13.7,447.0,65.0,37.7,24.6,8,"Kai'Sa, Samira, Tristana",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,Dia1,35,17,18,48.6,2.91,3.09,5.43,2.7,264.8,8.62,12.3,400.0,59.5,20.8,22.0,17,"Syndra, Viktor, Azir",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,Yijin,35,17,18,48.6,2.14,3.03,6.46,2.84,181.69,5.92,10.2,334.0,61.3,15.3,18.3,11,"Hecarim, Gragas, Udyr",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,ZerosS,32,15,17,46.9,2.75,3.25,4.91,2.36,259.28,8.47,12.4,404.0,54.7,19.6,22.2,12,"Gnar, Renekton, Jayce",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,Slay,28,16,12,57.1,1.0,3.54,8.29,2.63,36.5,1.16,7.5,238.0,61.5,6.6,12.9,8,"Alistar, Sett, Rell",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,Venus,5,1,4,20.0,1.0,3.0,4.6,1.87,41.4,1.47,6.6,234.0,59.6,10.6,13.7,5,"Rakan, Nautilus, Galio",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,Petland,3,2,1,66.7,2.67,2.67,5.67,3.13,244.33,7.66,12.1,379.0,58.1,18.6,21.2,2,"Viktor, Galio",143,479.0,9.62,6.42,90.0
2021,Spring_Season,SBTC Esports,Noway,2,0,2,0.0,0.0,4.0,7.5,1.88,37.0,1.35,5.8,212.0,71.4,0.0,12.8,1,Alistar,143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Flash.Vietnam,Meliodas,38,14,24,36.8,2.82,2.0,6.63,4.72,190.87,6.15,10.7,346.0,68.4,20.4,19.6,9,"Udyr, Lillia, Nidalee",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Flash.Vietnam,Palette,38,14,24,36.8,1.34,3.63,7.89,2.54,47.26,1.52,7.7,249.0,66.9,9.7,14.1,14,"Gragas, Galio, Rakan",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Flash.Vietnam,Yoshino,38,14,24,36.8,2.58,3.84,5.26,2.04,227.37,7.33,11.3,365.0,56.8,18.7,20.7,12,"Renekton, Gnar, Gragas",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Flash.Vietnam,Divkid,35,13,22,37.1,5.31,3.63,3.86,2.53,291.97,9.37,14.0,450.0,64.3,37.3,25.3,8,"Kai'Sa, Tristana, Samira",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Flash.Vietnam,Pake,30,11,19,36.7,2.07,2.97,6.13,2.76,254.27,8.15,11.5,369.0,58.6,14.8,21.0,8,"Orianna, Azir, Viktor",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Flash.Vietnam,Stark,11,4,7,36.4,1.91,3.82,4.55,1.69,219.82,7.32,10.5,350.0,54.2,16.0,19.9,9,"Renekton, Ryze, Jayce",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),Artifact,37,19,18,51.4,3.54,2.32,5.97,4.09,254.24,8.29,12.1,394.0,65.8,24.5,21.7,16,"Syndra, Orianna, Lucian",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),DNK,37,19,18,51.4,2.78,2.27,6.81,4.23,202.35,6.6,11.1,362.0,66.4,19.3,19.9,10,"Udyr, Lillia, Olaf",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),CBL,36,19,17,52.8,0.92,3.31,8.94,2.98,39.67,1.3,7.4,240.0,67.6,6.3,13.2,10,"Sett, Galio, Thresh",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),Slayder,30,15,15,50.0,5.07,2.5,4.47,3.81,289.17,9.41,13.8,451.0,67.3,35.8,24.9,9,"Kai'Sa, Xayah, Tristana",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),Coated,25,14,11,56.0,2.2,3.52,5.04,2.06,230.4,7.65,11.4,377.0,50.1,15.2,20.5,7,"Camille, Gnar, Renekton",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),Nagiya,12,5,7,41.7,1.75,3.75,6.5,2.2,231.42,7.27,11.3,356.0,56.9,12.1,20.1,6,"Renekton, Gnar, Sion",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),Eddie,7,4,3,57.1,5.43,1.71,5.57,6.42,272.43,8.95,13.7,450.0,70.0,34.5,24.4,2,"Kai'Sa, Jinx",143,479.0,9.62,6.42,90.0
2021,Spring_Season,Team Secret (Vietnamese Team),Phi1,1,0,1,0.0,2.0,8.0,0.0,0.25,43.0,1.3,6.9,208.0,20.0,20.0,12.0,1,Leona,143,479.0,9.62,6.42,90.0
2021,Spring_Playoffs,CERBERUS Esports (Vietnamese Team),Artemis,9,3,6,33.3,5.56,3.22,4.78,3.21,300.78,9.55,14.5,459.0,76.2,41.0,26.9,6,"Jinx, Kai'Sa, Xayah",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,CERBERUS Esports (Vietnamese Team),Pun,9,3,6,33.3,2.11,4.56,5.89,1.76,219.0,6.95,10.7,340.0,59.0,15.6,20.0,6,"Ornn, Sion, Wukong",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,CERBERUS Esports (Vietnamese Team),Yado,9,3,6,33.3,2.11,4.22,6.33,2.0,239.11,7.59,11.2,354.0,62.3,15.6,20.8,8,"Ryze, Renekton, Seraphine",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,CERBERUS Esports (Vietnamese Team),RonOP,8,3,5,37.5,1.0,5.0,8.88,1.98,31.75,0.98,7.4,227.0,65.3,6.6,13.1,4,"Thresh, Alistar, Blitzcrank",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,CERBERUS Esports (Vietnamese Team),Xuhao,7,3,4,42.9,3.14,2.86,5.86,3.15,173.14,5.46,10.4,328.0,68.5,23.9,19.3,4,"Volibear, Udyr, Elise",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,CERBERUS Esports (Vietnamese Team),EGO,2,0,2,0.0,2.0,7.0,7.5,1.36,187.0,6.1,9.9,323.0,63.3,13.3,18.5,2,"Udyr, Hecarim",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,CERBERUS Esports (Vietnamese Team),Hieu3,1,0,1,0.0,0.0,2.0,0.0,0.0,17.0,0.74,4.8,207.0,0.0,0.0,14.7,1,Rakan,16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,GAM Esports,Bie,7,6,1,85.7,1.29,1.29,11.29,9.78,86.71,3.23,8.1,302.0,66.2,6.8,15.4,4,"Alistar, Tahm Kench, Rakan",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,GAM Esports,Kati,7,6,1,85.7,3.57,2.86,9.0,4.4,200.43,7.47,10.5,391.0,66.2,18.8,19.9,4,"Galio, Sett, Lucian",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,GAM Esports,Kiaya,7,6,1,85.7,3.43,2.14,6.43,4.6,222.57,8.29,10.9,407.0,51.9,18.0,20.7,4,"Urgot, Renekton, Aatrox",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,GAM Esports,Levi,7,6,1,85.7,5.29,2.29,9.0,6.25,197.0,7.34,11.2,415.0,75.2,27.8,21.1,3,"Hecarim, Karthus, Gragas",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,GAM Esports,Sty1e,7,6,1,85.7,5.43,2.43,8.71,5.82,189.29,7.05,12.1,449.0,74.4,28.6,22.9,3,"Kai'Sa, Senna, Tristana",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Saigon Buffalo,Arrietty,8,4,4,50.0,4.5,3.13,6.38,3.48,251.75,8.66,12.2,420.0,66.9,27.7,23.4,5,"Tristana, Jinx, Kai'Sa",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Saigon Buffalo,BeanJ,8,4,4,50.0,2.88,2.88,8.5,3.96,174.13,5.99,10.0,344.0,70.0,17.7,19.2,5,"Udyr, Olaf, Lillia",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Saigon Buffalo,Hasmed,8,4,4,50.0,4.75,2.25,5.38,4.5,233.75,8.04,11.9,410.0,62.3,29.2,22.8,5,"Aatrox, Gnar, Sylas",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Saigon Buffalo,Taki,8,4,4,50.0,1.13,3.13,10.75,3.8,31.88,1.1,7.2,248.0,73.1,6.9,13.8,4,"Alistar, Rell, Thresh",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Saigon Buffalo,Froggy,7,4,3,57.1,3.14,2.86,8.29,4.0,220.71,7.55,11.0,375.0,66.7,18.3,20.6,6,"Yone, Viktor, Galio",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Saigon Buffalo,Rby,1,0,1,0.0,2.0,4.0,6.0,2.0,217.0,7.75,9.9,354.0,80.0,20.0,22.2,1,Zoe,16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Team Secret (Vietnamese Team),Artifact,8,3,5,37.5,4.38,2.25,5.25,4.28,251.75,8.44,12.5,419.0,59.2,26.9,22.9,7,"Orianna, Akali, Twisted Fate",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Team Secret (Vietnamese Team),CBL,8,3,5,37.5,0.88,4.13,10.13,2.67,34.0,1.14,7.3,246.0,67.7,5.4,13.5,6,"Thresh, Sett, Rakan",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Team Secret (Vietnamese Team),DNK,8,3,5,37.5,3.63,3.25,7.38,3.38,172.38,5.78,10.6,355.0,67.7,22.3,19.4,6,"Hecarim, Olaf, Lee Sin",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Team Secret (Vietnamese Team),Slayder,8,3,5,37.5,4.0,3.75,4.5,2.27,263.63,8.84,12.6,424.0,52.3,24.6,23.2,5,"Kai'Sa, Jinx, Samira",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Team Secret (Vietnamese Team),Nagiya,4,2,2,50.0,5.25,4.5,9.0,3.17,239.5,7.12,13.4,399.0,58.8,21.6,20.7,3,"Gnar, Aatrox, Mordekaiser",16,459.0,9.55,9.78,80.0
2021,Spring_Playoffs,Team Secret (Vietnamese Team),Coated,4,1,3,25.0,1.5,4.0,1.5,0.75,217.5,8.35,9.4,362.0,36.4,18.2,21.3,3,"Gnar, Sion, Jayce",16,459.0,9.55,9.78,80.0
2021,Summer_Promotion,Box Gaming,KidA,11,3,8,27.3,3.36,2.91,5.55,3.06,250.45,8.05,12.0,387.0,72.1,27.2,21.8,9,"Orianna, Lucian, Karma",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Box Gaming,Yashiro,11,3,8,27.3,3.27,2.27,4.73,3.52,295.73,9.51,13.3,429.0,64.7,26.5,24.1,4,"Kai'Sa, Xayah, Aphelios",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Box Gaming,Soraaa,11,3,8,27.3,0.55,3.45,7.82,2.42,50.0,1.61,7.3,236.0,67.6,4.4,13.3,6,"Alistar, Nautilus, Leona",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Box Gaming,SP0T,11,3,8,27.3,2.64,2.64,5.45,3.07,224.91,7.23,11.1,355.0,65.4,21.3,20.0,5,"Rumble, Udyr, Morgana",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Box Gaming,Simon,7,3,4,42.9,2.71,3.57,5.14,2.2,245.57,7.88,12.0,384.0,55.0,19.0,20.9,4,"Renekton, Volibear, Urgot",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Box Gaming,Pen,4,0,4,0.0,2.25,3.75,2.5,1.27,247.75,7.99,11.0,353.0,52.8,25.0,21.0,3,"Jayce, Aatrox, Gragas",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Burst The Sky Esports,Draktharr,9,6,3,66.7,2.89,3.22,9.22,3.76,203.33,6.6,11.0,358.0,72.2,17.2,19.1,3,"Morgana, Udyr, Rumble",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Burst The Sky Esports,Elio,9,6,3,66.7,1.22,3.11,10.44,3.75,55.11,1.79,7.9,255.0,69.5,7.3,13.6,6,"Rell, Rakan, Tahm Kench",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Burst The Sky Esports,Gloryy,9,6,3,66.7,4.33,3.33,6.89,3.37,297.22,9.64,13.8,447.0,66.9,25.8,23.9,7,"Tristana, Viktor, Jayce",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Burst The Sky Esports,Vinboiz,9,6,3,66.7,5.33,1.89,5.33,5.65,252.89,8.21,13.2,428.0,63.6,31.8,22.9,3,"Kai'Sa, Xayah, Senna",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Burst The Sky Esports,RyuK,7,5,2,71.4,2.29,3.0,5.57,2.62,242.29,8.23,11.4,386.0,50.0,14.5,20.4,6,"Renekton, Aatrox, Volibear",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Burst The Sky Esports,Cehin,2,1,1,50.0,5.5,3.0,7.0,4.17,250.0,7.02,13.3,374.0,61.0,26.8,20.6,1,Urgot,17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Genius Esports,Hai3,8,2,6,25.0,0.63,4.75,7.38,1.68,31.38,1.08,6.4,222.0,64.0,5.0,13.1,5,"Alistar, Nautilus, Rell",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Genius Esports,KEIKO,8,2,6,25.0,1.5,4.13,6.38,1.91,175.75,6.05,9.1,313.0,63.0,12.0,18.5,6,"Ornn, Galio, Sett",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Genius Esports,nPER,8,2,6,25.0,2.38,4.0,5.0,1.84,223.25,7.68,10.8,371.0,59.0,19.0,22.0,7,"Lee Sin, Akali, Yone",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Genius Esports,Sevenk,8,2,6,25.0,3.38,4.5,5.13,1.89,178.75,6.15,10.1,348.0,68.0,27.0,20.6,5,"Rumble, Kindred, Lillia",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Genius Esports,Vitt,6,2,4,33.3,5.33,3.67,4.5,2.68,291.5,9.66,13.6,451.0,72.0,39.0,26.1,4,"Xayah, Kai'Sa, Kalista",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Genius Esports,Hinnn,2,0,2,0.0,2.5,4.0,2.5,1.25,210.0,8.17,9.5,369.0,55.6,27.8,23.9,1,Kai'Sa,17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Luxury Esports,Bisboo,6,6,0,100.0,1.33,2.5,14.67,6.4,40.0,1.43,7.8,278.0,58.5,4.9,13.2,3,"Leona, Nautilus, Rell",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Luxury Esports,Blazess,6,6,0,100.0,6.0,2.5,12.67,7.47,228.5,8.18,12.5,448.0,68.3,22.0,21.2,5,"Zoe, Orianna, Jayce",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Luxury Esports,Coateddd,6,6,0,100.0,5.17,2.33,7.83,5.57,219.0,7.84,12.8,457.0,47.6,18.9,21.6,4,"Aatrox, Jayce, Irelia",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Luxury Esports,Killerqueenn,6,6,0,100.0,6.67,4.83,11.17,3.69,169.67,6.07,11.6,416.0,65.2,24.4,19.7,3,"Rumble, Kindred, Nidalee",17,512.0,9.66,7.47,72.2
2021,Summer_Promotion,Luxury Esports,Shinee,6,6,0,100.0,8.17,2.33,9.0,7.36,252.17,9.02,14.3,512.0,62.8,29.9,24.3,4,"Kai'Sa, Tristana, Varus",17,512.0,9.66,7.47,72.2
2021,Winter_Season,Burst The Sky Esports,Aomine,34,18,16,52.9,4.94,1.76,5.26,5.78,280.76,9.23,13.7,450.0,63.8,30.9,24.2,9,"Jhin, Kai'Sa, Lucian",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Burst The Sky Esports,Draktharr,34,18,16,52.9,3.71,2.91,7.41,3.82,187.29,6.16,11.3,371.0,69.5,23.2,19.9,7,"Lee Sin, Xin Zhao, Graves",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Burst The Sky Esports,Elio,34,18,16,52.9,0.74,3.41,9.32,2.95,35.06,1.15,7.4,242.0,62.9,4.6,13.0,10,"Leona, Rell, Thresh",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Burst The Sky Esports,Gloryy,34,18,16,52.9,3.97,2.53,6.44,4.12,275.29,9.05,13.0,429.0,65.1,24.8,23.0,14,"Ryze, Sylas, LeBlanc",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Burst The Sky Esports,Ryuk,32,16,16,50.0,2.66,3.34,4.81,2.23,217.0,7.12,11.2,367.0,46.6,16.6,19.8,9,"Renekton, Gnar, Jax",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Burst The Sky Esports,Cehin,2,2,0,100.0,2.5,3.5,6.0,2.43,242.5,8.2,12.0,404.0,54.8,16.1,20.2,2,"Jayce, Renekton",131,516.0,10.03,6.55,79.5
2021,Winter_Season,CERBERUS Esports (Vietnamese Team),Artemis,33,26,7,78.8,7.48,2.15,6.61,6.55,305.45,10.03,15.7,516.0,71.4,37.9,26.5,13,"Jinx, Caitlyn, Lucian",131,516.0,10.03,6.55,79.5
2021,Winter_Season,CERBERUS Esports (Vietnamese Team),EGO,33,26,7,78.8,4.55,3.0,9.15,4.57,199.64,6.55,12.1,398.0,69.4,23.0,20.4,8,"Lee Sin, Viego, Jarvan IV",131,516.0,10.03,6.55,79.5
2021,Winter_Season,CERBERUS Esports (Vietnamese Team),RonOP,33,26,7,78.8,0.82,2.79,12.27,4.7,31.36,1.03,7.5,247.0,66.4,4.1,12.7,7,"Alistar, Thresh, Leona",131,516.0,10.03,6.55,79.5
2021,Winter_Season,CERBERUS Esports (Vietnamese Team),Yado,33,26,7,78.8,3.82,2.27,8.61,5.47,248.88,8.17,12.6,412.0,63.0,19.4,21.1,9,"LeBlanc, Viktor, Ryze",131,516.0,10.03,6.55,79.5
2021,Winter_Season,CERBERUS Esports (Vietnamese Team),Pun,30,24,6,80.0,3.1,3.03,7.1,3.36,215.93,7.17,11.4,378.0,51.0,15.5,19.3,10,"Renekton, Camille, Dr. Mundo",131,516.0,10.03,6.55,79.5
2021,Winter_Season,CERBERUS Esports (Vietnamese Team),Poss,3,2,1,66.7,2.33,5.0,7.0,1.87,243.33,7.15,12.2,358.0,54.9,13.7,19.6,3,"Renekton, Camille, Kennen",131,516.0,10.03,6.55,79.5
2021,Winter_Season,GAM Esports,Bie,31,23,8,74.2,1.26,2.19,11.61,5.87,33.19,1.15,7.5,260.0,64.8,6.3,13.2,14,"Alistar, Rell, Leona",131,516.0,10.03,6.55,79.5
2021,Winter_Season,GAM Esports,Kiaya,31,23,8,74.2,4.13,3.13,6.48,3.39,240.23,8.32,12.3,427.0,53.4,20.8,21.7,10,"Jayce, Renekton, Jax",131,516.0,10.03,6.55,79.5
2021,Winter_Season,GAM Esports,Levi,31,23,8,74.2,4.97,2.87,9.23,4.94,181.1,6.27,11.8,407.0,71.4,25.0,20.7,12,"Zed, Jarvan IV, Viego",131,516.0,10.03,6.55,79.5
2021,Winter_Season,GAM Esports,Kati,29,21,8,72.4,3.38,2.55,8.45,4.64,234.72,8.16,11.8,412.0,60.7,17.3,21.0,11,"Ryze, Vex, Twisted Fate",131,516.0,10.03,6.55,79.5
2021,Winter_Season,GAM Esports,Divkid,17,13,4,76.5,6.18,2.29,5.41,5.05,255.65,8.92,13.3,462.0,62.9,33.5,23.6,8,"Miss Fortune, Tristana, Lucian",131,516.0,10.03,6.55,79.5
2021,Winter_Season,GAM Esports,Sty1e,14,10,4,71.4,6.07,2.93,6.79,4.39,259.71,8.9,13.5,462.0,59.4,28.1,23.3,7,"Jinx, Miss Fortune, Caitlyn",131,516.0,10.03,6.55,79.5
2021,Winter_Season,GAM Esports,2T,2,2,0,100.0,3.5,3.0,9.5,4.33,249.0,8.16,12.4,407.0,51.0,13.7,19.6,2,"Irelia, Ryze",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Luxury Esports,Blazes,33,20,13,60.6,4.12,3.27,6.42,3.22,252.24,8.56,12.6,429.0,58.1,22.7,22.4,12,"LeBlanc, Twisted Fate, Viktor",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Luxury Esports,Coated,33,20,13,60.6,3.79,4.3,5.12,2.07,242.0,8.21,12.5,426.0,49.1,20.9,22.2,11,"Jayce, Camille, Jax",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Luxury Esports,H3,33,20,13,60.6,0.85,3.55,10.3,3.15,27.79,0.94,7.3,248.0,61.4,4.7,12.9,10,"Nami, Leona, Alistar",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Luxury Esports,Killerqueen,33,20,13,60.6,5.06,3.33,7.36,3.73,183.91,6.24,11.6,393.0,68.4,27.9,20.4,10,"Lee Sin, Talon, Viego",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Luxury Esports,Vit,30,18,12,60.0,4.33,2.93,5.73,3.43,256.87,8.65,12.6,424.0,55.0,23.7,22.1,10,"Jhin, Lucian, Caitlyn",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Luxury Esports,Shine,3,2,1,66.7,4.33,2.67,4.33,3.25,242.0,8.9,11.7,431.0,52.0,26.0,21.9,2,"Aphelios, Jhin",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Saigon Buffalo,BeanJ,33,15,18,45.5,3.03,3.91,7.79,2.77,154.36,5.01,10.3,334.0,70.1,19.6,18.9,14,"Jarvan IV, Xin Zhao, Lee Sin",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Saigon Buffalo,Froggy,33,15,18,45.5,3.15,3.64,7.27,2.87,219.45,7.12,11.3,367.0,67.6,20.4,20.8,15,"Galio, Twisted Fate, LeBlanc",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Saigon Buffalo,Hasmed,33,15,18,45.5,4.21,3.55,5.18,2.65,251.42,8.16,12.5,406.0,60.9,27.3,23.0,12,"Kennen, Jayce, Gnar",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Saigon Buffalo,Taki,33,15,18,45.5,0.82,3.15,9.12,3.15,30.45,0.99,7.3,235.0,64.4,5.3,13.3,14,"Leona, Alistar, Rakan",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Saigon Buffalo,Shogun,26,13,13,50.0,4.23,2.58,5.73,3.87,283.88,9.18,13.2,427.0,65.2,27.7,24.0,10,"Caitlyn, Jhin, Jinx",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Saigon Buffalo,Arrietty,7,2,5,28.6,4.14,2.86,5.71,3.45,263.0,8.65,12.2,401.0,61.6,25.9,23.3,4,"Jhin, Jinx, Aphelios",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,Celebrity,32,11,21,34.4,4.16,2.84,4.34,2.99,263.84,8.98,12.6,430.0,63.0,30.8,24.8,9,"Jhin, Lucian, Caitlyn",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,Hiro02,31,11,20,35.5,2.74,4.19,5.39,1.94,223.9,7.57,11.1,374.0,58.7,19.8,21.5,16,"Sett, Irelia, Ryze",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,CBL,28,11,17,39.3,1.21,4.11,7.68,2.17,31.04,1.05,7.1,239.0,63.8,8.7,13.7,11,"Leona, Thresh, Nautilus",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,nPer,28,11,17,39.3,2.54,4.07,5.04,1.86,202.93,6.87,10.6,360.0,53.9,18.1,20.6,12,"Gwen, Jayce, Ornn",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,Penguin,28,11,17,39.3,3.0,4.18,6.0,2.15,167.04,5.65,10.0,337.0,64.9,21.6,19.4,12,"Jarvan IV, Xin Zhao, Nidalee",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,Artifact,5,0,5,0.0,2.6,4.0,2.0,1.15,209.8,7.65,9.6,350.0,54.8,31.0,22.3,4,"Syndra, LeBlanc, Ryze",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,Fear,4,0,4,0.0,0.25,7.0,6.5,0.96,29.0,1.05,5.9,214.0,64.3,2.4,13.0,3,"Leona, Karma, Thresh",131,516.0,10.03,6.55,79.5
2021,Winter_Season,SBTC Esports,K1thy1,4,0,4,0.0,2.75,6.75,6.0,1.3,117.75,4.2,8.4,298.0,79.5,25.0,17.8,3,"Jarvan IV, Viego, Lee Sin",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Team Flash.Vietnam,Dante,32,6,26,18.8,2.25,4.5,5.72,1.77,167.91,5.66,9.8,331.0,63.6,18.0,19.4,7,"Xin Zhao, Viego, Graves",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Team Flash.Vietnam,Jetsu,32,6,26,18.8,3.69,4.13,3.84,1.83,257.69,8.68,12.1,407.0,60.1,29.4,23.8,6,"Aphelios, Jhin, Caitlyn",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Team Flash.Vietnam,Yoshino,23,5,18,21.7,2.96,3.65,4.74,2.11,235.52,7.71,11.5,375.0,58.6,22.5,21.9,16,"Gwen, Kennen, Gnar",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Team Flash.Vietnam,Harvey,18,2,16,11.1,2.39,3.67,3.72,1.67,221.39,7.16,10.4,337.0,55.3,21.6,20.4,8,"Syndra, LeBlanc, Vex",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Team Flash.Vietnam,Palette,18,2,16,11.1,1.5,3.0,6.61,2.7,36.72,1.18,7.4,239.0,68.2,12.6,14.2,10,"Lulu, Rakan, Gragas",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Team Flash.Vietnam,Marcus,16,4,12,25.0,3.06,3.31,3.25,1.91,227.25,8.11,11.1,395.0,46.1,22.4,22.2,7,"Gwen, Jax, Camille",131,516.0,10.03,6.55,79.5
2021,Winter_Season,Team Flash.Vietnam,Arte,14,4,10,28.6,0.43,4.07,8.21,2.12,32.0,1.14,6.5,233.0,64.7,3.2,13.2,6,"Thresh, Leona, Alistar",131,516.0,10.03,6.55,79.5
